listing_id,type,name,rooms,amenities,price,rating_reviews,superhost,latitude,longitude,property_type,neighborhood,guest_qty,studio_vs_apt,bedroom_qty,bed_qty,bathroom_qty,average_review,review_qty
48279949,Entire rental unit in Midtown,Cozy Studio Apt. in the Heart of Chelsea,2 guests · Studio · 1 bed · 1 bath,Wifi · Air conditioning · Kitchen · Heating,$73 ,4.71 (7 reviews)$73 / night$73 per night,False,40.75123,-73.99684,Entire rental unit,Midtown,2,Studio,1,1,1,4.71,7
13078166,Entire rental unit in Manhattan,"Studio Apartment in Prime Downtown, Chelsea/Greenwich Village/Flatiron",2 guests · Studio · 1 bed · 1 bath,Wifi · Air conditioning · Kitchen · Heating,$131 ,$131 / night$131 per night,False,40.74061,-74.00125,Entire rental unit,Manhattan,2,Studio,1,1,1,,0
14929615,Entire rental unit in Manhattan,Spacious / Clean - 1 BR: Chelsea / Hudson Yards,2 guests · 1 bedroom · 1 bed · 1 bath,Wifi · Air conditioning · Kitchen · Heating,$149 ,4.76 (83 reviews)$149 / night$149 per night,True,40.75163,-74.00229,Entire rental unit,Manhattan,2,Apartment,1,1,1,4.76 ,83
41395190,Private room in Manhattan,spacious chelsea room,2 guests · 1 bedroom · 1 bed · 1 shared bath,Wifi · Air conditioning · Kitchen · Heating,$62 ,4.96 (27 reviews)$62 / night$62 per night,False,40.74244,-73.99551,Private room,Manhattan,2,Apartment,1,1,1,4.96 ,27
49840515,Entire rental unit in Manhattan,"Chelsea studio by Hudson Yards, High Line, subways",2 guests · Studio · 2 beds · 1 bath,Wifi · Air conditioning · Kitchen · Heating,$89 ,$89 / night$89 per night,False,40.74847,-73.99723,Entire rental unit,Manhattan,2,Studio,1,2,1,,0
45449415,Entire rental unit in New York,PRIME location! Chelsea One Bedroom,3 guests · 1 bedroom · 1 bed · 1 bath,Wifi · Air conditioning · Kitchen · Heating,$308 ,$308 / night$308 per night,False,40.74428,-73.99216,Entire rental unit,New York,3,Apartment,1,1,1,,0
39366288,Entire rental unit in Manhattan,DUPLEX-1 BED/2BATHS WITH A TERRACE,4 guests · 1 bedroom · 1 bed · 2 baths,Wifi · Air conditioning · Kitchen · Heating,$115 ,$115 / night$115 per night,False,40.74479,-74.00098,Entire rental unit,Manhattan,4,Apartment,1,1,2,,0
16677170,Entire rental unit in Manhattan,Sunny Chelsea Oasis,3 guests · 1 bedroom · 2 beds · 1 bath,Wifi · Air conditioning · Kitchen · Heating,$188 ,4.75 (170 reviews)$188 / night$188 per night,False,40.74332,-74.00078,Entire rental unit,Manhattan,3,Apartment,1,2,1,4.75 ,170
44639591,Entire rental unit in Manhattan,Central & Stylish 1 Bedroom Apt - Heart of Chelsea,4 guests · 1 bedroom · 2 beds · 1 bath,Wifi · Air conditioning · Kitchen · Heating,$159 ,5.0 (15 reviews)$159 / night$159 per night,True,40.7466,-73.9972,Entire rental unit,Manhattan,4,Apartment,1,2,1,5.0 ,15
45470310,Entire rental unit in Manhattan,Luxury Renovated LOFT in Downtown Chelsea. NYC.,2 guests · 1 bedroom · 1 bed · 1 bath,Wifi · Air conditioning · Kitchen · Heating,$295 ,4.94 (16 reviews)$295 / night$295 per night,False,40.73888,-73.99919,Entire rental unit,Manhattan,2,Apartment,1,1,1,4.94 ,16
16405036,Private room in Manhattan,Amazing Location - Heart of CHELSEA / Manhattan,1 guest · 1 bedroom · 1 bed · 1 shared bath,Wifi · Air conditioning · Kitchen · Heating,$89 ,4.85 (139 reviews)$89 / night$89 per night,True,40.74324,-73.99729,Private room,Manhattan,1,Apartment,1,1,1,4.85 ,139
17218433,Entire rental unit in Manhattan,Famous actor PHILIP SEYMOUR HOFFMAN’S former home,2 guests · Studio · 1 bed · 1 bath,Wifi · Air conditioning · Kitchen · Heating,$236 ,5.0 (28 reviews)$236 / night$236 per night,False,40.74042,-73.99849,Entire rental unit,Manhattan,2,Studio,1,1,1,5.0 ,28
